Respondent	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Degree	AssistYN	Assistantship	Hours	College
109	4	4	3	4	4	5	4	3	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
110	5	5	5	5	5	3	5	5	PhD	No			
111	2	5	4	4	3	5	3	4	PhD	Yes	GTA,GRA	18	Odum School of Ecology
112	2	4	4	3	3	5	2	4	PhD	Yes	GTA	13	College of Family and Consumer Sciences
113	5	5	5	5	5	5	5	5	PhD	Yes	GTA	18	Odum School of Ecology
114	5	5	5	3	4	5	3	5	PhD	Yes	GRA	20	Other
115	1	4	2	1	2	5	3	4	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
116	5	5	5	5	5	5	5	5	PhD	Yes	GRA	More than 20	College of Public Health
117	5	5	5	5	5	5	3	5	PhD	Yes	GTA	20	
118	5	5	5	3	4	5	5	5	PhD	No			
119	2	4	4	2	5	5	5	5	PhD	Yes	GTA,GRA	14	Franklin College of Arts and Sciences
120	5	5	5	3	2	5	5	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
121	1	1	1	1	1	5	3	3	Masters	Yes	GTA,GRA	17	Franklin College of Arts and Sciences
122	5	5	4	1	3	5	5	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
123	5	5	5	5	5	5	5	5	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
124	5	5	5	2	4	5	4	5	PhD	Yes	GRA		College of Pharmacy
125	3	3	4	3	3	5	5	5	PhD	Yes	GTA	17	Franklin College of Arts and Sciences
126	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
127	5	5	5	5	5	5	5	5	Masters	Yes	GTA	13	Franklin College of Arts and Sciences
128	5	5	5	0	5	5	1	1	PhD	Yes	GRA	20	College of Veterinary Medicine
129	4	5	4	4	4	5	4	5	PhD	Yes	GTA	17	Franklin College of Arts and Sciences
130	4	4	5	3	4	3	3	5	PhD	Yes	GRA		Franklin College of Arts and Sciences
131	5	4	5	5	4	5	4	3	PhD	Yes	GTA	20	Franklin College of Arts and Sciences
132	2	5	2	1	2	5	5	3	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
133	5	5	5	1	5	5	5	5	PhD	No			
134	5	5	5	5	2	5	5	5	PhD	Yes	GRA	16	College of Agricultural and Environmental Sciences
135	4	3	3	4	5	5	5	5	PhD	Yes	GRA	19	Franklin College of Arts and Sciences
136	5	5	5	5	5	5	5	5	PhD	Yes	GRA	18	College of Agricultural and Environmental Sciences
137	4	4	4	1	1	5	1	5	PhD	Yes	GRA	20	Office of Research
138	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	College of Agricultural and Environmental Sciences
139	5	3	4	3	3	5	3	4	Masters	Yes	GTA	18	Odum School of Ecology
140	5	5	5	5	4	5	5	5	PhD	Yes	GRA		College of Engineering
141	1	1	1	1	3	5	3	4	Masters	Yes	GRA	Unknown	College of Agricultural and Environmental Sciences
142	3	5	5	3	2	5	5	5	PhD	No			
143	2	2	1	3	5	5	2	5	PhD	Yes	GRA	More than 20	Franklin College of Arts and Sciences
144	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	College of Pharmacy
145	5	5	2	1	3	5	5	2	PhD	Yes	GTA,GRA	Unknown	Franklin College of Arts and Sciences
146	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	College of Pharmacy
147	0	5	5	1	5	5	3	5	PhD	Yes	GTA,GRA	20	College of Family and Consumer Sciences
148	4	5	5	4	3	5	5	5	PhD	Yes	GTA,GLA	20	Franklin College of Arts and Sciences
149	5	5	5	5	5	5	0	5	PhD	Yes	GRA	18	Franklin College of Arts and Sciences
150	1	4	2	3	2	5	5	5	PhD	Yes	GRA	Unknown	Franklin College of Arts and Sciences
151	1	1	1	1	1	3	4	5	PhD	Yes	GRA	Unknown	Unknown
152	5	5	5	3	4	5	5	3	PhD	Yes	GRA	More than 20	Franklin College of Arts and Sciences
153	5	5	5	5	5	5	5	5	PhD	Yes	GRA	Unknown	Graduate School
154	3	2	1	0	2	2	1	1	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
155	3	5	5	0	2	5	5	5	PhD	Yes	GTA,GRA	20	Franklin College of Arts and Sciences
156	5	5	5	5	5	5	5	5	PhD	Yes	GTA,GRA	20	College of Pharmacy
157	1	5	1	5	1	5	2	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
158	5	5	5	5	5	5	5	5	PhD	Yes	GRA	More than 20	Franklin College of Arts and Sciences
159	2	4	3	3	3	5	4	4	PhD	Yes	GRA	16	Franklin College of Arts and Sciences
160	5	5	4	4	5	5	3	5	Masters	Yes	GRA	More than 20	Franklin College of Arts and Sciences
161	4	4	3	2	5	5	5	5	PhD	Yes	GRA		Franklin College of Arts and Sciences
162	1	1	1	1	0	5	1	5	PhD	Yes	GLA	18	Franklin College of Arts and Sciences
163	5	1	5	5	5	5	5	1	PhD	Yes	GRA	More than 20	College of Veterinary Medicine
164	2	1	3	4	4	5	4	0	PhD	Yes	GA	20	Unknown
165	5	5	5	5	5	5	0	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
166	5	5	5	4	5	5	5	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
167	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	College of Veterinary Medicine
168	5	5	5	1	2	5	5	5	PhD	Yes	GTA,GRA	Less than 13	College of Agricultural and Environmental Sciences
169	5	5	5	5	5	5	4	5	PhD	Yes	GRA	20	College of Veterinary Medicine
170	5	5	5	5	5	5	5	5	PhD	Yes	GTA	20	Franklin College of Arts and Sciences
171	4	5	4	5	3	5	5	5	PhD	Yes	GLA,GRA	20	Franklin College of Arts and Sciences
172	5	5	5	3	5	5	3	5	PhD	Yes	GTA	20	Franklin College of Arts and Sciences
173	3	3	3	3	3	5	4	5	PhD	Yes	GTA	18	Odum School of Ecology
174	5	5	5	5	5	5	5	5	PhD	Yes	GTA	Unknown	Franklin College of Arts and Sciences
175	2	3	2	3	2	5	5	5	Masters	Yes	GTA	20	Franklin College of Arts and Sciences
176	5	5	5	3	4	5	5	5	Masters	Yes	GA	15	Franklin College of Arts and Sciences
177	5	5	5	5	5	5	5	5	PhD	Yes	GTA	16	Franklin College of Arts and Sciences
178	2	5	1	1	0	5	4	5	PhD	Yes	GTA	19	Franklin College of Arts and Sciences
179	5	5	5	5	3	5	5	5	PhD	ExternalOther			
180	5	4	4	5	4	5	5	5	PhD	Yes	GTA,GLA	18	Franklin College of Arts and Sciences
181	1	1	1	1	3	1	2	1	PhD	Yes	GRA	20	Graduate School
182	5	5	4	3	5	5	5	5	PhD	Yes	GTA	Less than 13	Franklin College of Arts and Sciences
183	1	3	2	2	2	5	4	5	Masters	Yes	GA	14	Graduate School
184	5	5	5	5	5	5	5	5	PhD	Yes	GRA	More than 20	Franklin College of Arts and Sciences
185	5	5	5	5	5	5	5	5	PhD	Yes	GTA	20	Franklin College of Arts and Sciences
186	5	5	5	1	3	5	5	5	PhD	Yes	GTA	Unknown	College of Pharmacy
187	4	4	4	5	4	5	4	4	Masters	Yes	GTA	20	Franklin College of Arts and Sciences
188	1	4	3	1	5	5	5	1	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
189	0	3	1	1	1	5	2	2	PhD	Yes	GRA	18	Odum School of Ecology
190	5	5	5	5	5	5	5	5	PhD	Yes	GTA		
191	5	5	5	3	3	5	5	5	PhD	Yes	GRA	16	Franklin College of Arts and Sciences
192	4	4	3	1	5	5	3	5	PhD	Yes	GRA	20	College of Family and Consumer Sciences
193	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	College of Veterinary Medicine
194	2	5	2	4	4	5	4	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
195	5	4	5	3	5	5	2	5	PhD	Yes	GTA	13	College of Family and Consumer Sciences
196	5	5	5	5	5	5	5	5	PhD	Yes	GTA	20	Franklin College of Arts and Sciences
197	5	5	5	5	5	5	5	5	PhD	Yes	GTA,GLA	20	Franklin College of Arts and Sciences
198	3	5	4	3	4	5	4	5	PhD	Yes	GTA	16	Franklin College of Arts and Sciences
199	5	5	5	5	3	5	5	5	PhD	Yes	GTA	20	Franklin College of Arts and Sciences
200	5	5	5	0	3	5	4	5	PhD	Yes	GTA		Franklin College of Arts and Sciences
201	5	5	5	5	5	5	5	5	PhD	Yes	GTA	16	Franklin College of Arts and Sciences
202	1	2	4	1	4	5	5	3	PhD	Yes	GRA	20	College of Family and Consumer Sciences
203	1	3	2	3	2	5	5	5	PhD	Yes	GTA	20	Franklin College of Arts and Sciences
204	0	5	0	5	0	5	5	5	Masters	Yes	GTA,GLA	17	Franklin College of Arts and Sciences
205	5	5	5	3	3	5	4	5	PhD	Yes	GTA	16	Franklin College of Arts and Sciences
206	5	4	1	5	3	5	5	5	PhD	Yes	GTA	16	Franklin College of Arts and Sciences
207	5	4	4	3	1	5	1	4	Masters	Yes	GRA	15	Franklin College of Arts and Sciences
208	5	5	5	5	3	5	5	5	PhD	Yes	GA	20	Other
209	4	5	4	2	5	5	3	5	PhD	Yes	GTA	17	Franklin College of Arts and Sciences
210	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
211	5	5	5	2	5	5	5	5	PhD	ExternalOther			
212	5	5	5	1	1	4	1	5	PhD	Yes	GRA	20	Office of Research
213	1	2	4	1	1	5	5	5	PhD	Yes	GRA	19	College of Agricultural and Environmental Sciences
214	4	1	5	3	1	5	4	5	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
215	4	5	5	4	3	5	3	5	PhD	Yes	GRA	20	Mary Frances Early College of Education
216	5	5	5	5	2	5	5	5	PhD	Yes	GRA	20	College of Engineering
217	1	5	1	5	1	5	5	5	PhD	Yes	GTA	17	Franklin College of Arts and Sciences
218	4	5	4	5	5	5	4	5	PhD	No			
219	5	5	5	5	5	5	5	5	PhD	Yes	GTA,GRA	20	Franklin College of Arts and Sciences
220	3	3	5	0	5	5	5	5	PhD	Yes	GRA	20	Unknown
221	5	5	5	5	5	5	5	5	PhD	Yes	GTA	13	College of Family and Consumer Sciences
222	5	2	5	1	1	4	4	5	PhD	Yes	GRA	20	College of Family and Consumer Sciences
223	5	5	5	5	5	5	5	5	PhD	Yes	GRA,GRFA	More than 20	College of Engineering
224	5	5	5	5	5	5	5	5	PhD	Yes	GRA	16	College of Engineering
225	2	1	0	0	1	3	3	0	PhD	Yes	GRA	14	College of Agricultural and Environmental Sciences
226	5	5	5	5	5	5	5	5	PhD	Yes	GA	More than 20	Franklin College of Arts and Sciences
227	5	5	4	5	5	5	5	5	PhD	Yes	GRA		Franklin College of Arts and Sciences
228	5	5	5	5	5	5	5	5	PhD	Yes	GRA		
229	0	0	0	0	0	0	0	0	PhD	Yes	GRA	18	College of Engineering
230	0	2	0	1	0	5	2	5	PhD	Yes	GTA	20	Franklin College of Arts and Sciences
231	5	4	5	4	3	5	5	5	PhD	Yes	GTA,GRA	14	College of Agricultural and Environmental Sciences
232	3	2	3	3	3	5	5	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
233	1	1	2	2	2	5	5	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
234	5	5	5	5	5	5	5	5	Masters	Yes	GRA	18	College of Agricultural and Environmental Sciences
235	3	4	4	2	3	5	4	4	PhD	Yes	GRA	18	Franklin College of Arts and Sciences
236	5	4	5	3	4	5	4	3	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
237	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	College of Veterinary Medicine
238	5	5	5	0	0	5	5	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
239	2	0	0	1	2	5	3	5	PhD	ExternalOther			
240	3	5	5	5	3	5	4	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
241	5	5	5	5	5	5	5	5	Masters	Yes	GTA	Unknown	Franklin College of Arts and Sciences
242	2	3	3	1	4	5	3	4	Masters	Yes	GTA,GRFA	Unknown	Franklin College of Arts and Sciences
243	0	5	0	0	0	5	0	5	PhD	Yes	GRA		Franklin College of Arts and Sciences
244	3	3	3	3	1	5	3	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
245	3	1	1	1	1	5	1	4	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
246	0	5	0	0	0	5	0	5	PhD	Yes	GRA		Other
247	5	5	5	3	5	5	5	5	PhD	Yes	GRA	18	Odum School of Ecology
248	4	2	4	5	3	5	5	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
249	1	5	5	3	1	5	1	5	PhD	Yes	GRA	18	Franklin College of Arts and Sciences
250	5	5	5	5	5	5	5	5	PhD	Yes	GRA	18	Other
251	5	5	5	5	5	5	5	5	PhD	Yes	GRA		Franklin College of Arts and Sciences
252	5	5	5	5	5	5	5	5	PhD	Yes	GRA	18	Other
253	5	5	5	0	1	5	3	5	PhD	Yes	GTA,GRA	16	Franklin College of Arts and Sciences
254	4	5	5	4	1	3	1	5	PhD	Yes			Graduate School
255	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	Other
256	1	1	1	4	1	5	2	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
257	0	4	3	0	0	0	0	4	PhD	Yes	GRA	20	College of Veterinary Medicine
258	5	4	5	5	5	5	4	5	PhD	Yes	GRA	More than 20	Franklin College of Arts and Sciences
259	5	5	5	2	3	5	5	5	PhD	Yes	GTA,GRA	18	Office of Research
260	4	3	3	3	4	4	2	3	PhD	Yes	GRA	18	Unknown
261	3	5	2	1	5	5	5	5	PhD	Yes	GRA	Less than 13	Franklin College of Arts and Sciences
262	4	4	4	4	4	5	5	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
263	5	5	1	5	1	5	4	5	PhD	Yes	GRA	16	Franklin College of Arts and Sciences
264	5	5	5	5	5	5	2	5					
265	4	5	5	5	5	5	5	5	PhD	Yes			
266	4	5	5	5	5	5	4	5	PhD	Yes			
267	5	5	5	5	5	5	5	5	PhD	Yes			
268	5	5	5	0	0	5	5	5	PhD	Yes			
269	5	5	5	5	5	3	3	5	PhD	Yes	GA	18	Franklin College of Arts and Sciences
270	5	5	5	5	5	5	5	5	PhD	Yes			
271	2	3	2	3	1	5	1	4	PhD	Yes			
272	5	5	5	5	5	5	5	5	PhD	Yes			
273	5	5	4	1	1	5	2	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
274	5	4	5	4	5	5	4	5	PhD	Yes	GRA	14	Franklin College of Arts and Sciences
275	2	4	3	5	5	5	5	2	PhD	Yes	GTA,GRA		Franklin College of Arts and Sciences
276	3	5	3	2	2	4	1	3	PhD	Yes	GA	Unknown	Franklin College of Arts and Sciences
277	0	5	1	0	0	5	0	5	PhD	Yes	GRA	More than 20	Franklin College of Arts and Sciences
278	5	5	5	5	5	5	5	5	PhD	Yes	GRA	Unknown	College of Veterinary Medicine
279	5	5	5	5	5	5	5	5	PhD	Yes	GRA	More than 20	College of Veterinary Medicine
280	5	5	5	5	3	5	4	5	PhD	Yes	GRA	More than 20	Franklin College of Arts and Sciences
281	5	5	5	1	4	5	4	5	PhD	Yes	GRA	More than 20	College of Veterinary Medicine
282	1	2	2	1	1	5	2	5	Masters	Yes			
283	0	5	0	0	4	5	0	5	PhD	Yes	GRA	More than 20	Franklin College of Arts and Sciences
284	5	5	4	1	1	5	5	3	PhD	ExternalOther			
285	0	5	5	0	2	5	2	5	PhD	Yes	GRA	20	Other
286	5	5	5	5	5	5	5	5	Masters	Yes	GRA	18	College of Veterinary Medicine
287	4	3	5	2	1	5	4	3	PhD	Yes	GRA	More than 20	Franklin College of Arts and Sciences
288	1	5	1	1	3	5	5	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
289	5	5	5	4	3	5	4	5	Masters	Yes	GTA	17	Franklin College of Arts and Sciences
290	5	5	5	5	3	5	5	5	PhD	Yes	GRA	20	College of Engineering
291	1	4	3	2	1	5	4	5	PhD	Yes	GRA	16	College of Engineering
292	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	Other
293	4	2	5	2	1	5	4	5	PhD	Yes	GA	20	Other
294	0	3	2	0	0	5	3	5	PhD	Yes	GTA,GRA	17	Franklin College of Arts and Sciences
295	4	5	5	4	3	5	5	5	PhD	Yes	GRA	16	College of Agricultural and Environmental Sciences
296	1	5	1	3	2	5	5	1	PhD	Yes	GRA	13	Graduate School
297	1	5	5	1	1	5	5	5	PhD	Yes	GRA	20	College of Veterinary Medicine
298	5	5	5	3	3	5	5	5	PhD	Yes	GTA,GRA	20	Franklin College of Arts and Sciences
299	5	5	5	5	2	5	5	5	PhD	Yes	GTA	17	Franklin College of Arts and Sciences
300	0	0	0	0	4	5	3	4	Masters	Yes	GA		College of Agricultural and Environmental Sciences
301	5	3	5	2	1	5	4	2	Masters	Yes	GRA	20	Warnell School of Forestry and Natural Resources
302	5	5	2	2	2	5	2	1	PhD	Yes	GTA	20	Mary Frances Early College of Education
303	5	5	5	5	5	5	4	5	Masters	Yes	GRA		College of Agricultural and Environmental Sciences
304	2	5	2	5	5	5	4	5	PhD	Yes	GRA	Unknown	College of Agricultural and Environmental Sciences
305	2	4	3	1	3	3	2	5	Masters	Yes	GRA	16	Warnell School of Forestry and Natural Resources
306	1	5	1	2	2	5	5	5	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
307	1	4	2	1	1	5	1	2	PhD	Yes	GRA	15	College of Engineering
308	5	5	5	5	5	5	5	5	PhD	Yes	GRA	16	Warnell School of Forestry and Natural Resources
309	5	5	5	5	4	5	5	5	PhD	Yes	GRA	18	Franklin College of Arts and Sciences
310	1	5	5	5	2	5	5	5	PhD	Yes	GRA	16	College of Agricultural and Environmental Sciences
311	5	5	5	5	5	5	5	5	Masters	Yes	GRA	More than 20	College of Agricultural and Environmental Sciences
312	4	5	5	3	4	5	3	5	PhD	Yes	GRA	16	College of Engineering
313	3	3	2	4	2	5	3	4	Masters	Yes	GRA	13	School of Public and International Affairs
